Country_x,Measles,Covid-19,Cholera,Dengue,mpox
afghanistan,5166.0,5796.4683,165629,0,0.0
albania,1.0,119251.03,0,0,0.0
algeria,47.0,5985.59,0,0,0.0
andorra,0.0,602280.44,0,0,4.0
angola,3271.0,3016.3298,0,0,0.0
antigua and barbuda,0.0,98071.1,0,0,0.0
argentina,2.0,222665.2,0,2,1149.0
armenia,0.0,157609.66,0,0,0.0
australia,7.0,452699.0,0,1157,170.0
austria,1.0,671071.3,0,0,338.0
azerbaijan,1.0,81250.42,0,0,0.0
bahamas,0.0,98421.81,0,0,4.0
bahrain,18.0,454276.25,0,0,2.0
bangladesh,311.0,12111.735,376,60000,0.0
barbados,0.0,385503.88,0,85,1.0
belarus,0.0,108363.555,0,0,0.0
belgium,8.0,420272.6,0,0,800.0
belize,0.0,177359.64,0,0,0.0
benin,455.0,2037.573,0,0,3.0
bhutan,7.0,80286.07,0,0,0.0
bolivia (plurinational state of),0.0,0.0,0,8516,0.0
bosnia and herzegovina,6.0,126105.02,0,0,9.0
botswana,1.0,135538.2,0,0,0.0
brazil,41.0,178367.94,0,376178,11497.0
brunei darussalam,0.0,0.0,0,0,0.0
bulgaria,1.0,196053.31,0,0,6.0
burkina faso,252.0,984.80444,0,0,0.0
burundi,212.0,4096.433,835,0,0.0
cote d'ivoire,1596.0,2910.314,0,0,0.0
cabo verde,8.0,0.0,0,0,0.0
cambodia,13.0,8099.5405,0,9707,1.0
cameroon,3217.0,4533.711,81,0,45.0
canada,3.0,124134.43,0,0,1547.0
central african republic,155.0,3029.2046,0,0,47.0
chad,2158.0,417.33228,0,0,0.0
chile,0.0,276681.66,0,0,1454.0
china,552.0,69732.67,0,487,2127.0
colombia,0.0,123597.914,0,39868,4148.0
comoros,4.0,10919.549,10549,0,0.0
congo,6718.0,4181.2017,0,0,26.0
cook islands,,500101.72,0,10,0.0
costa rica,0.0,243193.84,0,4763,225.0
croatia,0.0,346541.66,0,0,33.0
cuba,0.0,100694.4,0,0,8.0
cyprus,0.0,756699.44,0,0,5.0
czechia,0.0,452150.03,0,0,71.0
democratic people's republic of korea,0.0,0.0,0,0,0.0
democratic republic of the congo,4380.0,0.0,28804,0,1245.0
denmark,0.0,583715.3,0,0,198.0
djibouti,206.0,13798.259,0,0,0.0
dominica,0.0,240044.88,0,0,0.0
dominican republic,0.0,58865.52,0,7098,102.0
ecuador,0.0,60539.277,0,4042,597.0
egypt,14.0,4582.0547,0,0,0.0
el salvador,0.0,32159.209,0,6486,106.0
equatorial guinea,49.0,9497.935,0,0,0.0
eritrea,28.0,2988.4568,0,0,0.0
estonia,0.0,454647.53,0,0,11.0
eswatini,64.0,61821.89,0,0,0.0
ethiopia,9291.0,3997.9731,26718,0,0.0
fiji,,75097.78,0,17179,0.0
finland,0.0,269282.0,0,0,42.0
france,15.0,606932.75,0,0,4171.0
gabon,1293.0,20181.82,0,0,0.0
gambia,58.0,4789.353,0,0,0.0
georgia,,491301.62,0,0,2.0
germany,,457124.16,0,0,3800.0
ghana,395.0,5198.7456,2244,0,128.0
greece,0.0,552721.0,0,0,89.0
grenada,0.0,168419.88,0,66,0.0
guatemala,0.0,70058.414,0,0,405.0
guinea,417.0,2745.0461,0,0,0.0
guinea-bissau,213.0,4566.056,0,0,0.0
guyana,0.0,90666.67,0,0,2.0
haiti,0.0,3022.444,10556,0,0.0
honduras,,45194.61,0,9841,44.0
hungary,0.0,231041.86,0,0,82.0
iceland,0.0,554066.06,0,0,17.0
india,40967.0,31600.842,10615,0,27.0
indonesia,7704.0,24495.588,0,0,73.0
iran (islamic republic of),230.0,0.0,0,0,0.0
iraq,12.0,55945.402,571,0,0.0
ireland,2.0,342905.97,0,0,244.0
israel,,531855.56,0,0,275.0
italy,15.0,452192.16,0,0,989.0
jamaica,0.0,55421.496,0,48,21.0
japan,,270433.8,0,0,232.0
jordan,457.0,155202.16,0,0,1.0
kazakhstan,4.0,75088.555,0,0,0.0
kenya,1774.0,6343.0493,613,0,0.0
kiribati,,38971.19,0,11044,0.0
kuwait,7.0,145394.48,0,0,0.0
kyrgyzstan,,12788.335,0,0,0.0
lao people's democratic republic,0.0,0.0,0,25772,1.0
latvia,0.0,519795.25,0,0,6.0
lebanon,,215842.16,1,0,27.0
lesotho,3.0,15807.624,0,0,0.0
liberia,8300.0,1476.189,0,0,17.0
libya,32.0,70221.87,0,0,0.0
lithuania,0.0,504048.38,0,0,5.0
luxembourg,0.0,607522.25,0,0,60.0
madagascar,80.0,2253.9478,0,0,0.0
malawi,29.0,4335.124,386,0,0.0
malaysia,209.0,153617.53,0,42579,9.0
maldives,0.0,356207.4,0,0,0.0
mali,765.0,1438.197,0,0,0.0
malta,0.0,234001.14,0,0,35.0
marshall islands,,406469.78,0,939,0.0
mauritania,96.0,13101.856,0,0,0.0
mauritius,0.0,259153.03,0,0,0.0
mexico,0.0,59266.996,0,46009,4079.0
micronesia (federated states of),1.0,0.0,0,4405,0.0
monaco,,441115.3,0,0,3.0
mongolia,46.0,298725.5,0,0,0.0
montenegro,0.0,408818.03,0,0,2.0
morocco,,34265.92,0,0,4.0
mozambique,1047.0,7162.215,8299,0,1.0
myanmar,10.0,11965.763,7498,0,0.0
namibia,31.0,59714.82,0,0,0.0
nauru,,456221.97,0,0,0.0
