Measles_Country,Population_2024,No_Hospitals,Staffed_Beds,Total_Discharge,Percent_Vaccinated_Measles,Per_Capita($),Cases_Measles_2023,
Alabama,5157699,87,14704,531833,93.8%,54209,0,
Alaska,740133,11,1271,47645,84.3%,71611,5,
Arizona,7582384,82,13846,623081,89.3%,62543,0,
Arkansas,3088354,52,7600,308342,92.5%,57635,0,
California,39431263,333,74363,3091573,96.2%,81255,2,
Colorado,5957493,60,8714,400523,88.3%,80068,0,
Connecticut,3675069,34,8560,335467,97.7%,89945,0,
Delaware,1051917,8,2105,91607,93.8%,66850,0,
Florida,23372215,222,57331,2634338,88.1%,68703,0,
Georgia,11180878,111,22438,947972,88.4%,59882,7,
Hawaii,1446146,14,2456,92047,89.8%,66175,0,
Idaho,2001619,18,2677,117781,79.6%,59385,0,
Illinois,12710158,138,27223,1120320,91.6%,72245,0,
Indiana,6924275,101,15227,655092,90.8%,61243,0,
Iowa,3241488,37,5946,249380,89.1%,62779,0,
Kansas,2970606,56,6330,256453,90.4%,66115,0,
Kentucky,4588372,75,12602,529008,90.0%,55360,8,
Louisiana,4597740,108,13793,469593,92.4%,58845,0,
Maine,1405012,19,2825,96773,97.5%,65105,0,
Maryland,6263220,49,10247,490004,96.6%,75391,0,
Massachusetts,7136171,70,14314,677797,96.3%,90596,0,
Michigan,10140459,101,21537,925002,92.1%,61144,0,
Minnesota,5793151,54,10169,451284,87.0%,72557,0,
Mississippi,2943045,64,8966,276694,97.5%,49652,0,
Missouri,6245466,80,16544,689600,90.4%,62604,0,
Montana,1137233,14,2104,77372,91.9%,64989,0,
Nebraska,2005465,28,4224,168835,93.9%,71347,0,
Nevada,3267467,32,6094,302798,91.9%,66238,0,
New Hampshire,1409032,14,2358,152278,89.2%,78944,0,
New Jersey,9500851,76,20176,859470,93.2%,82103,7,
New Mexico,2130256,33,3951,160542,95.0%,55343,1,
New York,19867248,181,55891,2091744,97.7%,82323,0,
North Carolina,11046024,110,22932,1006295,93.8%,61839,0,
North Dakota,796568,9,1785,69843,91.0%,72041,0,
Ohio,11883304,144,27216,1225963,89.2%,61495,0,
Oklahoma,4095393,91,9708,396900,88.3%,60545,0,
Oregon,4272371,35,6398,341165,91.2%,67838,0,
Pennsylvania,13078751,178,34141,1401758,93.5%,68945,0,
Rhode Island,1112308,11,2429,94843,97.1%,67562,4,
South Carolina,5478831,67,11456,525192,92.1%,57332,0,
South Dakota,924669,23,2691,91820,90.8%,72466,0,
Tennessee,7227750,96,18308,786590,95.1%,62229,0,
Texas,31290831,372,60538,2798124,94.3%,66252,114,
Utah,3503613,36,4827,213525,88.8%,64175,0,
Vermont,648493,7,851,36387,92.9%,66932,0,
Virginia,8811195,88,16895,711641,94.2%,73841,0,
Washington,7958180,60,10586,507534,91.3%,80930,0,
West Virginia,1769979,35,5365,215444,98.3%,52826,0,
Wisconsin,5960975,84,10777,454612,84.8%,64976,0,
Wyoming,587618,15,1294,30420,93.5%,82060,0,
